PLOTID,clase
116,Matorral Semidenso
118,Matorral Semidenso
119,Matorral Semidenso
120,Matorral Semidenso
121,Matorral Semidenso
123,Matorral Semidenso
124,Matorral Semidenso
126,Pastizal Mesomorfico
127,Matorral Semidenso
128,Matorral Semidenso
129,Matorral con renoval Semidenso
130,Matorral con renoval Denso
131,Matorral con renoval Semidenso
132,Matorral Semidenso
133,Matorral Semidenso
134,Matorral Semidenso
135,Matorral con renoval Semidenso
136,Matorral con renoval Denso
137,Matorral Semidenso
138,Matorral con renoval Denso
139,Matorral Denso
140,Matorral Semidenso
141,Matorral con renoval Denso
142,Matorral Semidenso
143,Matorral Semidenso
144,Matorral Semidenso
145,Matorral Denso
146,Matorral Semidenso
147,Matorral Denso
148,Matorral Semidenso
149,Matorral Semidenso
150,Pastizal Mesomorfico
151,Matorral Semidenso
152,Matorral Denso
153,Matorral Semidenso
154,Matorral Semidenso
155,Suelo desnudo
156,Matorral Semidenso
157,Matorral Semidenso
158,Matorral Denso
159,Matorral con renoval Semidenso
160,Matorral Semidenso
161,Matorral Denso
162,Matorral Semidenso
163,Matorral Semidenso
164,Matorral Semidenso
165,Matorral con renoval Semidenso
166,Matorral Denso
167,Matorral Semidenso
168,Matorral Semidenso
169,Matorral con renoval Denso
170,Matorral Semidenso
171,Matorral Semidenso
172,Matorral Denso
173,Matorral con renoval Denso
174,Matorral Semidenso
175,Matorral Semidenso
176,Matorral Semidenso
177,Matorral Semidenso
178,Matorral Semidenso
179,Matorral Semidenso
180,Pastizal Mesomorfico
181,Matorral Semidenso
182,Matorral Semidenso
183,Matorral Semidenso
184,Matorral Semidenso
186,Matorral Semidenso
187,Matorral Denso
189,Matorral Semidenso
190,Matorral Semidenso
191,Pastizal Mesomorfico
192,Matorral Semidenso
193,Matorral Semidenso
194,Matorral Semidenso
195,Matorral con renoval Denso
196,Matorral Denso
197,Matorral Semidenso
198,Matorral Semidenso
199,Arbolado nativo Denso
200,Matorral Semidenso
201,Matorral Denso
202,Matorral Semidenso
203,Matorral Semidenso
204,Matorral con renoval Semidenso
205,Matorral Semidenso
206,Matorral Semidenso
207,Matorral Semidenso
208,Matorral Denso
209,Matorral con renoval Denso
210,Matorral con renoval Semidenso
211,Matorral Semidenso
212,Matorral Semidenso
213,Matorral Semidenso
214,Matorral Semidenso
215,Matorral con renoval Semidenso
216,Matorral Semidenso
217,Matorral Denso
218,Matorral Semidenso
219,Matorral Semidenso
220,Matorral Semidenso
221,Matorral Denso
222,Matorral Denso
223,Matorral Denso
224,Matorral Semidenso
225,Matorral Denso
226,Matorral Semidenso
227,Matorral con renoval Denso
228,Matorral con renoval Semidenso
229,Matorral Semidenso
230,Matorral con renoval Semidenso
231,Matorral Semidenso
232,Matorral Denso
233,Matorral Semidenso
234,Suelo desnudo
235,Matorral Semidenso
236,Arbolado nativo Denso
237,Matorral Semidenso
238,Pastizal Mesomorfico
239,Matorral Semidenso
240,Matorral Semidenso
241,Matorral Semidenso
242,Matorral con renoval Semidenso
243,Matorral Denso
244,Matorral con renoval Semidenso
245,Matorral Denso
246,Matorral Semidenso
247,Arbolado nativo Ralo
248,Matorral Semidenso
249,Matorral Semidenso
250,Matorral Semidenso
251,Matorral Semidenso
252,Matorral Semidenso
253,Matorral Semidenso
254,Matorral Semidenso
255,Frutales
256,Pastizal Mesomorfico
257,Matorral Semidenso
258,Matorral Semidenso
259,Pastizal Mesomorfico
260,Matorral Semidenso
261,Matorral Semidenso
262,Matorral Semidenso
263,Arbolado nativo Denso
264,Matorral Denso
265,Matorral con renoval Denso
266,Matorral con renoval Semidenso
267,Matorral Semidenso
268,Matorral Denso
269,Matorral Denso
270,Matorral con renoval Denso
271,Arbolado nativo Denso
272,Arbolado nativo Denso
273,Matorral con renoval Denso
274,Matorral Denso
275,Matorral Denso
276,Matorral con renoval Denso
277,Matorral Semidenso
278,Matorral con renoval Denso
279,Matorral con renoval Denso
280,Matorral Semidenso
282,Arbolado nativo Semidenso
283,Matorral Semidenso
284,Matorral Denso
285,Matorral con renoval Semidenso
286,Arbolado nativo Denso
287,Matorral Denso
288,Matorral con renoval Denso
289,Matorral Denso
290,Arbolado nativo Denso
291,Arbolado nativo Denso
292,Arbolado nativo Denso
293,Matorral con renoval Denso
294,Matorral Denso
295,Matorral con renoval Denso
296,Arbolado nativo Denso
297,Matorral con renoval Semidenso
298,Arbolado nativo Denso
299,Arbolado nativo Denso
300,Matorral con renoval Semidenso
301,Matorral con renoval Denso
302,Frutales
303,Arbolado nativo Denso
304,Matorral Denso
305,Arbolado nativo Semidenso
306,Matorral Semidenso
307,Arbolado nativo Denso
308,Matorral Denso
309,Matorral Semidenso
310,Arbolado nativo Denso
311,Matorral Semidenso
312,Matorral Semidenso
313,Arbolado nativo Denso
314,Matorral con renoval Denso
315,Arbolado nativo Denso
316,Matorral Semidenso
317,Matorral con renoval Denso
318,Arbolado nativo Denso
319,Arbolado nativo Denso
320,Matorral con renoval Semidenso
321,Arbolado nativo Denso
322,Matorral con renoval Semidenso
323,Matorral con renoval Semidenso
324,Arbolado nativo Denso
325,Matorral Semidenso
326,Matorral Denso
327,Arbolado nativo Denso
328,Arbolado nativo Denso
329,Matorral Denso
330,Matorral Denso
331,Matorral Denso
332,Matorral Denso
333,Matorral con renoval Semidenso
334,Matorral con renoval Denso
335,Arbolado nativo Denso
336,Matorral Denso
337,Matorral Denso
338,Mezcla plantacion Pino y matorral
339,Arbolado nativo Denso
340,Arbolado nativo Denso
341,Arbolado nativo Denso
342,Matorral con renoval Denso
343,Arbolado nativo Denso
344,Arbolado nativo Denso
345,Matorral con renoval Denso
346,Matorral con renoval Denso
347,Arbolado nativo Denso
348,Arbolado nativo Denso
349,Matorral con renoval Denso
350,Matorral Denso
351,Matorral Denso
352,Matorral Semidenso
353,Arbolado nativo Denso
354,Arbolado nativo Denso
355,Matorral con renoval Semidenso
356,Arbolado nativo Denso
357,Matorral con renoval Denso
358,Arbolado nativo Denso
359,Matorral Denso
360,Matorral Denso
361,Matorral Semidenso
363,Arbolado nativo Denso
364,Arbolado nativo Denso
365,Matorral Semidenso
366,Matorral Denso
367,Matorral Denso
368,Matorral Denso
369,Arbolado nativo Semidenso
370,Matorral con renoval Denso
371,Arbolado nativo Denso
372,Matorral Denso
373,Matorral con renoval Denso
374,Matorral con renoval Semidenso
375,Matorral Semidenso
376,Arbolado nativo Semidenso
377,Arbolado nativo Denso
378,Arbolado nativo Denso
379,Arbolado nativo Denso
380,Matorral Semidenso
381,Matorral con renoval Denso
382,Matorral con renoval Denso
384,Arbolado nativo Denso
385,Matorral Denso
386,Arbolado nativo Denso
387,Matorral con renoval Denso
388,Matorral con renoval Semidenso
389,Matorral con renoval Denso
390,Matorral Denso
391,Arbolado nativo Denso
392,Arbolado nativo Denso
393,Arbolado nativo Denso
394,Matorral con renoval Denso
395,Matorral con renoval Denso
396,Matorral Denso
397,Matorral con renoval Denso
398,Matorral Denso
399,Matorral Denso
400,Arbolado nativo Denso
401,Arbolado nativo Denso
402,Matorral con renoval Denso
404,Arbolado nativo Denso
405,Matorral con renoval Semidenso
406,Matorral Denso
407,Matorral con renoval Semidenso
408,Matorral con renoval Denso
409,Matorral con renoval Denso
410,Matorral con renoval Denso
411,Matorral con renoval Denso
412,Matorral con renoval Denso
413,Arbolado nativo Semidenso
414,Matorral Denso
416,Matorral Semidenso
417,Matorral con renoval Denso
418,Matorral Semidenso
419,Matorral con renoval Denso
420,Matorral con renoval Denso
421,Matorral con renoval Denso
422,Matorral con renoval Denso
423,Arbolado nativo Denso
424,Matorral con renoval Semidenso
425,Matorral con renoval Semidenso
426,Matorral Semidenso
427,Arbolado nativo Denso
428,Matorral Semidenso
429,Arbolado nativo Denso
430,Arbolado nativo Denso
431,Matorral Denso
432,Matorral con renoval Denso
433,Matorral con renoval Denso
435,Arbolado nativo Denso
436,Matorral Semidenso
437,Matorral con renoval Denso
439,Matorral con renoval Denso
440,Matorral Semidenso
441,Matorral con renoval Denso
442,Matorral Denso
443,Arbolado nativo Denso
444,Matorral con renoval Denso
445,Matorral con renoval Semidenso
446,Matorral Semidenso
447,Matorral Semidenso
448,Matorral con renoval Denso
449,Matorral con renoval Denso
450,Matorral con renoval Denso
451,Mezcla plantacion Pino y matorral
452,Matorral con renoval Denso
453,Matorral Denso
454,Matorral con renoval Semidenso
455,Arbolado nativo Denso
456,Arbolado nativo Denso
457,Matorral Semidenso
458,Arbolado nativo Denso
459,Arbolado nativo Denso
460,Arbolado nativo Denso
461,Pastizal Mesomorfico
462,Matorral Semidenso
463,Matorral con renoval Denso
464,Arbolado nativo Denso
465,Matorral con renoval Denso
466,Matorral con renoval Denso
467,Matorral Semidenso
468,Matorral Semidenso
469,Matorral con renoval Denso
470,Matorral Semidenso
471,Matorral Denso
472,Matorral con renoval Denso
473,Matorral con renoval Denso
474,Arbolado nativo Denso
475,Matorral con renoval Denso
476,Arbolado nativo Denso
477,Matorral Denso
478,Matorral Denso
479,Matorral Semidenso
480,Matorral Denso
481,Matorral con renoval Denso
482,Matorral con renoval Denso
483,Matorral Denso
484,Matorral con renoval Denso
485,IUF con matorral y arbolado nativo
486,Matorral Semidenso
487,Arbolado nativo Denso
488,Matorral Semidenso
489,Arbolado nativo Denso
490,Matorral Denso
492,Matorral con renoval Semidenso
493,Matorral con renoval Denso
494,Arbolado nativo Denso
495,Arbolado nativo Denso
496,Arbolado nativo Denso
497,Arbolado nativo Denso
498,Arbolado nativo Denso
499,Arbolado nativo Denso
500,Matorral con renoval Denso
501,Matorral Semidenso
502,Matorral Semidenso
503,Matorral Denso
504,Matorral con renoval Denso
505,Matorral Denso
506,Arbolado nativo Denso
507,Matorral Denso
509,Matorral con renoval Denso
510,Matorral con renoval Denso
511,Matorral con renoval Denso
512,Matorral Denso
513,Matorral con renoval Semidenso
514,Matorral con renoval Denso
515,Arbolado nativo Denso
516,Matorral con renoval Denso
517,Arbolado nativo Denso
518,Matorral Semidenso
519,Arbolado nativo Denso
520,Matorral con renoval Denso
521,Matorral Denso
522,Arbolado nativo Denso
523,Matorral Denso
524,Arbolado nativo Denso
525,Arbolado nativo Denso
526,Matorral con renoval Denso
527,Matorral con renoval Semidenso
528,Matorral con renoval Denso
529,Matorral Semidenso
530,Matorral Semidenso
531,Matorral con renoval Denso
532,Arbolado nativo Denso
533,Arbolado nativo Denso
534,Arbolado nativo Denso
535,Arbolado nativo Denso
536,Matorral con renoval Denso
537,Matorral con renoval Denso
538,Arbolado nativo Denso
539,Arbolado nativo Denso
540,Matorral Denso
541,Arbolado nativo Denso
542,Suelo desnudo
543,Matorral Semidenso
544,Frutales
545,Verduras
546,Pastizal Mesomorfico
547,Frutales
548,Frutales
549,Frutales
550,Frutales
551,Pastizal Mesomorfico
553,Frutales
554,Frutales
555,Frutales
556,Verduras
559,Frutales
560,Frutales
561,Frutales
562,Frutales
563,Verduras
565,Pastizal Mesomorfico
566,Frutales
570,Pastizal Mesomorfico
571,Frutales
572,Frutales
574,Verduras
575,Frutales
576,Pastizal Mesomorfico
577,Frutales
578,Frutales
579,Frutales
580,Frutales
581,Pastizal Mesomorfico
582,Frutales
584,Frutales
585,Frutales
587,Frutales
589,Frutales
590,Frutales
591,Pastizal Mesomorfico
592,Frutales
593,Matorral Semidenso
595,Frutales
596,Frutales
597,Matorral Semidenso
599,Pastizal Mesomorfico
600,Frutales
601,Verduras
602,Pastizal Mesomorfico
603,Verduras
604,Frutales
605,Verduras
607,Frutales
608,Verduras
609,Frutales
610,Frutales
611,Verduras
612,Pastizal Mesomorfico
613,Verduras
617,Frutales
619,Matorral Semidenso
620,Matorral Semidenso
621,Verduras
623,Frutales
624,Frutales
625,Cascos urbanos
627,Frutales
628,Frutales
629,Frutales
630,Verduras
631,Frutales
633,Frutales
634,Pastizal Mesomorfico
635,Pastizal Mesomorfico
636,Verduras
639,Suelo desnudo
640,Frutales
641,Frutales
642,Frutales
643,Frutales
644,Verduras
645,Frutales
650,Pastizal Mesomorfico
652,Frutales
654,Frutales
656,Verduras
657,Frutales
659,Pastizal Mesomorfico
660,Frutales
661,Frutales
662,Frutales
663,Matorral Semidenso
665,Frutales
666,Pastizal Mesomorfico
668,Frutales
669,Matorral Semidenso
670,Frutales
672,Suelo desnudo
673,Frutales
675,Verduras
676,Verduras
677,Frutales
678,Pastizal Mesomorfico
680,Frutales
681,Frutales
683,Pastizal Mesomorfico
684,Frutales
685,Frutales
687,Frutales
688,Frutales
689,Frutales
690,Pastizal Mesomorfico
691,Pastizal Mesomorfico
692,Pastizal Mesomorfico
693,Cascos urbanos
695,Frutales
696,Frutales
698,Pastizal Mesomorfico
699,Frutales
701,Frutales
702,Matorral con renoval Semidenso
704,Frutales
705,Frutales
706,Pastizal Mesomorfico
707,Verduras
708,Frutales
710,Frutales
711,Frutales
713,Frutales
714,Frutales
715,Pastizal Mesomorfico
716,Matorral Semidenso
720,Frutales
721,Frutales
722,Frutales
723,Frutales
724,Frutales
725,Frutales
727,Frutales
728,Matorral Semidenso
729,Frutales
730,Pastizal Mesomorfico
731,Suelo desnudo
733,Frutales
734,Matorral Semidenso
735,Pastizal Mesomorfico
736,Frutales
737,Frutales
738,Pastizal Mesomorfico
740,Verduras
741,Frutales
742,Frutales
743,Pastizal Mesomorfico
744,Frutales
745,Frutales
747,Matorral Semidenso
748,Arbolado nativo Ralo
749,Verduras
750,Verduras
753,Frutales
754,Pastizal Mesomorfico
755,Frutales
757,Frutales
758,Pastizal Mesomorfico
760,Suelo desnudo
761,Frutales
762,Frutales
765,Pastizal Mesomorfico
767,Frutales
769,Frutales
770,Frutales
772,Frutales
774,Pastizal Mesomorfico
776,Frutales
778,Frutales
780,Frutales
781,Verduras
782,Frutales
785,Frutales
787,Frutales
788,Matorral Semidenso
791,Pastizal Mesomorfico
792,Verduras
793,Frutales
795,Frutales
796,Frutales
797,Verduras
798,Verduras
800,Frutales
801,Verduras
803,Pastizal Mesomorfico
804,Frutales
806,Frutales
807,Frutales
808,Frutales
811,Frutales
812,Frutales
814,Frutales
815,Frutales
817,Matorral Denso
818,Pastizal Mesomorfico
819,Frutales
820,Frutales
821,Frutales
822,Cascos urbanos
824,Frutales
827,Arbolado nativo Ralo
828,Frutales
829,Matorral Denso
830,Frutales
831,Verduras
832,Pastizal Mesomorfico
833,Frutales
834,Frutales
836,Matorral Semidenso
838,Pastizal Mesomorfico
841,Verduras
842,Pastizal Mesomorfico
844,Frutales
845,Pastizal Mesomorfico
846,Frutales
847,Frutales
848,Pastizal Mesomorfico
849,Matorral Semidenso
851,Frutales
853,Verduras
856,Frutales
861,Matorral Denso
862,Pastizal Mesomorfico
865,Matorral con renoval Semidenso
866,Mezcla plantacion Pino y matorral
868,Mezcla plantacion Pino y matorral
870,Plantaciones de Eucaliptus Jovenes
871,Plantaciones de Eucaliptus Jovenes
872,IUF con plantaciones y matorrales
873,Pastizal Mesomorfico
874,Pastizal Mesomorfico
876,Plantaciones de coniferas Adultas
879,Mezcla plantacion Pino y matorral
880,Matorral Semidenso
881,Mezcla plantacion Pino y matorral
882,Pastizal Mesomorfico
886,Pastizal Mesomorfico
888,Matorral Denso
889,Matorral Semidenso
893,IUF con plantaciones y matorrales
895,Plantaciones de Eucaliptus Jovenes
896,Matorral Semidenso
898,Pastizal Mesomorfico
899,Plantaciones de coniferas Adultas
904,Matorral Semidenso
906,Pastizal Mesomorfico
907,Matorral Denso
909,Pastizal Mesomorfico
910,Mezcla plantacion Pino y matorral
912,Matorral Semidenso
914,Plantaciones de coniferas Adultas
921,Matorral Semidenso
922,Matorral Semidenso
923,Cascos urbanos
927,Plantaciones de Eucaliptus Adultas
928,Matorral Denso
930,Pastizal Mesomorfico
931,Plantaciones de Eucaliptus Adultas
934,Arbolado nativo Denso
936,Matorral con renoval Semidenso
937,Matorral Denso
938,Matorral Denso
939,Suelo desnudo
940,IUF con plantaciones y matorrales
941,Matorral con renoval Semidenso
942,Matorral Semidenso
943,Arbolado nativo Denso
947,Matorral con renoval Denso
953,Matorral Semidenso
954,Matorral Semidenso
955,Mezcla de plantacion Eucalipto y matorral
956,Pastizal Mesomorfico
959,Pastizal Mesomorfico
962,IUF con matorral y arbolado nativo
964,Matorral Semidenso
965,Matorral Semidenso
966,Frutales
967,Frutales
968,Frutales
969,IUF con plantaciones y matorrales
970,Matorral Semidenso
971,IUF con plantaciones y matorrales
972,Matorral Semidenso
974,Matorral Denso
975,IUF con matorral y arbolado nativo
977,Cascos urbanos
980,IUF con matorral y arbolado nativo
984,Matorral Semidenso
986,Matorral Denso
988,Matorral con renoval Semidenso
989,Pastizal Mesomorfico
990,Matorral con renoval Semidenso
992,Matorral Semidenso
995,Cascos urbanos
997,Matorral con renoval Semidenso
998,Cascos urbanos
999,Arbolado nativo Semidenso
1000,Pastizal Mesomorfico
1001,Frutales
1002,Matorral Denso
1003,Matorral con renoval Denso
1004,Matorral Semidenso
1005,Cascos urbanos
1006,Frutales
1007,Verduras
1010,Matorral con renoval Semidenso
1011,Matorral Semidenso
1013,Verduras
1015,Matorral Semidenso
1016,Frutales
1018,Plantaciones de Eucaliptus Adultas
1019,Frutales
1021,Pastizal Mesomorfico
1022,Verduras
1023,Pastizal Mesomorfico
1025,Pastizal Mesomorfico
1026,Mezcla plantacion Pino y matorral
1027,Pastizal Mesomorfico
1028,Matorral Semidenso
1031,IUF con matorral y arbolado nativo
1033,Matorral Denso
1034,Matorral Semidenso
1035,Matorral Semidenso
1036,Matorral con renoval Semidenso
1037,Pastizal Mesomorfico
1038,Pastizal Mesomorfico
1039,Matorral con renoval Denso
1040,IUF con matorral y arbolado nativo
1043,IUF con matorral y arbolado nativo
1044,Plantaciones de Eucaliptus Jovenes
1046,Frutales
1048,Matorral Semidenso
1049,Cascos urbanos
1051,Plantaciones de Eucaliptus Adultas
1053,IUF con matorral y arbolado nativo
1055,Verduras
1056,IUF con matorral y arbolado nativo
1058,IUF con matorral y arbolado nativo
1059,Matorral Denso
1061,IUF con matorral y arbolado nativo
1063,Matorral con renoval Semidenso
1064,IUF con matorral y arbolado nativo
1065,Matorral con renoval Semidenso
1067,Mezcla plantacion Pino y matorral
1069,IUF con matorral y arbolado nativo
1070,IUF con matorral y arbolado nativo
1075,Matorral Denso
1077,Matorral Denso
1078,Verduras
1081,Matorral Semidenso
1084,IUF con plantaciones y matorrales
1085,Pastizal Mesomorfico
1086,Matorral Semidenso
1088,Suelo desnudo
1090,Matorral Semidenso
1091,Matorral con renoval Semidenso
1092,Frutales
1093,Frutales
1095,Cascos urbanos
1096,Plantaciones de Eucaliptus Adultas
1099,Matorral Semidenso
1100,Verduras
1101,Matorral Semidenso
1102,Matorral Denso
1103,Matorral Denso
1105,Pastizal Mesomorfico
1106,Arbolado nativo Semidenso
1107,Verduras
1113,Frutales
1114,IUF con matorral y arbolado nativo
1118,Matorral con renoval Semidenso
1125,Pastizal Mesomorfico
1126,Matorral con renoval Semidenso
1127,Matorral con renoval Semidenso
1128,Pastizal Mesomorfico
1129,Frutales
1130,IUF con matorral y arbolado nativo
1131,Matorral Semidenso
1135,Pastizal Mesomorfico
1136,IUF con matorral y arbolado nativo
1139,Matorral Semidenso
1140,Frutales
1141,Matorral con renoval Semidenso
1142,Frutales
1143,Matorral Semidenso
1144,Matorral con renoval Denso
1147,Frutales
1149,Matorral Semidenso
1150,Matorral Semidenso
1153,Frutales
1154,Pastizal Mesomorfico
1155,Frutales
1157,Matorral Semidenso
1158,Mezcla de plantacion Eucalipto y matorral
1159,Frutales
1164,Pastizal Mesomorfico
1165,Cuerpos de agua
1169,Frutales
1171,Matorral Semidenso
1175,Frutales
1176,Matorral Semidenso
1178,Verduras
1183,Frutales
1188,Cuerpos de agua
1189,Frutales
1190,Matorral Semidenso
1191,Matorral Semidenso
1192,IUF con matorral y arbolado nativo
1194,Mezcla de plantacion Eucalipto y matorral
1197,Plantaciones de Eucaliptus Jovenes
1200,Matorral Semidenso
1201,Matorral Semidenso
1202,Matorral con renoval Denso
1203,Matorral Denso
1204,Matorral con renoval Denso
1205,Cuerpos de agua
1206,Arbolado nativo Denso
1207,Plantaciones de coniferas Adultas
1208,Cascos urbanos
1209,Matorral Semidenso
1210,Matorral con renoval Denso
1211,Matorral Semidenso
1212,Pastizal Mesomorfico
1213,Matorral Semidenso
1214,Matorral Semidenso
1215,Matorral Semidenso
1216,Cascos urbanos
1217,Matorral Semidenso
1218,Pastizal Mesomorfico
1219,Matorral Semidenso
1223,Matorral Denso
1226,Matorral Denso
1228,Frutales
1229,Arbolado nativo Semidenso
1232,Mezcla plantacion Pino y matorral
1233,Matorral con renoval Denso
1234,Pastizal Mesomorfico
1235,Frutales
1236,IUF con plantaciones y matorrales
1237,Frutales
1239,Mezcla plantacion Pino y matorral
1240,Pastizal Mesomorfico
1241,Cascos urbanos
1244,Mezcla de plantacion Eucalipto y matorral
1245,Pastizal Mesomorfico
1246,Arbolado nativo Denso
1247,Matorral con renoval Denso
1249,Frutales
1250,Matorral Semidenso
1251,Arbolado nativo Denso
1253,Verduras
1254,Mezcla plantacion Pino y matorral
1255,Frutales
1256,Cascos urbanos
1257,IUF con matorral y arbolado nativo
1261,Cuerpos de agua
1262,Pastizal Mesomorfico
1263,Matorral con renoval Semidenso
1266,Matorral Semidenso
1267,Arbolado nativo Denso
1269,Pastizal Mesomorfico
1271,Verduras
1273,Matorral Semidenso
1274,Frutales
1275,IUF con matorral y arbolado nativo
1276,Matorral Semidenso
1278,Matorral Semidenso
1279,Matorral Semidenso
1280,Plantaciones de Eucaliptus Adultas
1282,Arbolado nativo Ralo
1283,Plantaciones de Eucaliptus Jovenes
1284,Matorral con renoval Denso
1285,Cascos urbanos
1287,Frutales
1288,Pastizal Mesomorfico
1290,IUF con matorral y arbolado nativo
1291,Plantaciones de Eucaliptus Adultas
1292,Matorral con renoval Denso
1293,Frutales
1295,Pastizal Mesomorfico
1297,Verduras
1301,IUF con plantaciones y matorrales
1302,IUF con plantaciones y matorrales
1303,Frutales
1305,Frutales
1307,Matorral Semidenso
1310,Plantaciones de Eucaliptus Adultas
1312,Verduras
1313,Verduras
1314,Matorral Semidenso
1317,Matorral con renoval Denso
1319,Matorral Semidenso
1320,Mezcla plantacion Pino y matorral
1322,Mezcla de plantacion Eucalipto y matorral
1323,Mezcla de plantacion Eucalipto y matorral
1324,Frutales
1325,Arbolado nativo Ralo
1326,Frutales
1328,Mezcla plantacion Pino y matorral
1330,Frutales
1331,Frutales
1332,Pastizal Mesomorfico
1334,Pastizal Mesomorfico
1335,Matorral Semidenso
1336,Frutales
1338,Pastizal Mesomorfico
1339,Matorral con renoval Denso
1340,Matorral Semidenso
1341,IUF con plantaciones y matorrales
1345,Cascos urbanos
1347,Matorral con renoval Semidenso
1349,Cuerpos de agua
1350,Plantaciones de Eucaliptus Jovenes
1351,Plantaciones de coniferas Adultas
1353,Matorral Denso
1354,Matorral Semidenso
1355,Matorral Denso
1356,Frutales
1357,Mezcla plantacion Pino y matorral
1358,Pastizal Mesomorfico
1359,Matorral Semidenso
1360,Matorral Semidenso
1361,Matorral con renoval Denso
1363,Matorral Semidenso
1364,Matorral Denso
1365,Pastizal Mesomorfico
1366,Matorral Denso
1367,Matorral Semidenso
1368,Matorral Semidenso
1369,Matorral Semidenso
1370,Matorral con renoval Denso
1371,Matorral Semidenso
1372,Frutales
1373,Matorral Denso
1374,Matorral Denso
1375,Matorral Semidenso
1376,Matorral Semidenso
1377,Matorral Semidenso
1378,Matorral Denso
1379,Matorral Denso
1380,Matorral Semidenso
1381,Matorral Semidenso
1382,Matorral Semidenso
1383,Matorral con renoval Semidenso
1384,Plantaciones de coniferas Adultas
1385,Matorral Semidenso
1386,Matorral Denso
1387,Matorral Denso
1389,Pastizal Mesomorfico
1390,Matorral Denso
1391,Matorral con renoval Denso
1392,Matorral Denso
1393,Matorral Denso
1394,Matorral Denso
1395,Matorral Semidenso
1396,Matorral Denso
1397,Matorral Denso
1398,Matorral con renoval Denso
1399,Matorral Semidenso
1400,Matorral Semidenso
1401,Matorral Denso
1402,Suelo desnudo
1403,Mezcla de plantacion Eucalipto y matorral
1404,Matorral Semidenso
1405,Matorral Denso
1406,Mezcla plantacion Pino y matorral
1407,Matorral Denso
1408,Matorral Semidenso
1409,Matorral Denso
1410,Arbolado nativo Denso
1411,Matorral con renoval Denso
1412,Arbolado nativo Denso
1413,Matorral con renoval Denso
1414,Matorral Denso
1416,Matorral Semidenso
1417,Matorral Semidenso
1418,Matorral con renoval Denso
1419,Mezcla plantacion Pino y matorral
1420,Arbolado nativo Denso
1421,Matorral Denso
1422,Mezcla plantacion Pino y matorral
1423,Matorral con renoval Denso
1424,Arbolado nativo Denso
1425,Matorral Semidenso
1427,Arbolado nativo Denso
1428,Arbolado nativo Denso
1429,Matorral Denso
1430,Arbolado nativo Denso
1431,Matorral Semidenso
